ID,Title,Medium_Picture,Large_Picture,Mean,Rank,Popularity,Genres,Synopsis
14893,Monogatari Series: First Season,https://cdn.myanimelist.net/images/manga/2/279887.webp,https://cdn.myanimelist.net/images/manga/2/279887l.webp,8.91,19,279,"Action, Comedy, Mystery, Romance, Supernatural, Vampire","This is a story, a ""ghostory"" of sorts, about scars that bond, monsters that haunt, and fakes that deceive.  The story of Koyomi Araragi begins through a fateful encounter with the all-powerful, blonde-haired, ""hot-blooded, iron-blooded, and cold-blooded"" vampire, later introduced as Shinobu Oshino. Their tragic rendezvous results in the end of Araragi's life as a human and his subsequent rebirth as a vampire—a monster. However, this encounter is only the start of his meddlings with the supernatural. Koyomi's noble personality ultimately sees him getting further involved in the lives of others with supernatural afflictions. This is his desperate attempt at returning to a normal human life, in a paranormal world filled with nothing but tragedy, suffering, and inhumanity.  [Written by MAL Rewrite]  This entry includes the first season of the Monogatari Series."
23751,Monogatari Series: Second Season,https://cdn.myanimelist.net/images/manga/2/181553.jpg,https://cdn.myanimelist.net/images/manga/2/181553l.jpg,8.9,21,799,"Comedy, Drama, Mystery, Supernatural, Vampire","This is a story. A story about choices and consequences, confessions resulting in love and rejection, and decisions leading to sacrifice and tragedy.  Koyomi Araragi's decision to save a blonde vampire and meddle with the supernatural resulted in his death as a human and rebirth as a monster. But this was only one of the countless tragedies and choices that Koyomi would be faced with, and he is confronted with the fact that his seemingly unshakeable and hard-earned relationships do not last. As strange oddities continue to manifest in the world around him, he is faced with impossible choices—to sever his ties with those he loves, or eternally remain a part of the world of monsters and apparitions and watch the world crumble as a result. To accept or reject a confession, and sacrifice his all for the sake of others. However, both of these paths could lead to tragedy and farewells.  This is a story. A story about Koyomi Araragi coming to realize the consequences of his choices.  [Written by MAL Rewrite]  This entry includes the second season of the Monogatari Series."
44227,Monogatari Series: Final Season,https://cdn.myanimelist.net/images/manga/1/181554.webp,https://cdn.myanimelist.net/images/manga/1/181554l.webp,8.83,31,1008,"Comedy, Mystery, Supernatural, Vampire","This is a story. The end to the saga of Koyomi Araragi.  This half-human, half-vampire has stood on the line between reality and the supernatural for far too long. The end to his indecision has finally come. Piece by piece, his humanity was falling away, starting with his reflection. He was becoming one of them—a vampire.  Now, Araragi must choose which world to live in and which to give up. To remain human, he must abandon the friends he made through encounters with the supernatural. On the other hand, he would have to sacrifice his humanity to stay with those he holds dear.   Koyomi Araragi must decide, and his decision will haunt him until the very end. Either way, tragedy seems inevitable, a culmination of every choice made since the very beginning.   [Written by MAL Rewrite]  This entry includes the final season of the Monogatari Series."
104039,86,https://cdn.myanimelist.net/images/manga/3/194315.webp,https://cdn.myanimelist.net/images/manga/3/194315l.webp,8.83,32,411,"Action, Drama, Military, Sci-Fi","Nine years ago, the Empire of Giad declared war on all neighboring countries using an army of autonomous drones known as the Legion. Threatened by the soulless killing machines, the Republic of San Magnolia, home to the silver-haired Alba race, evacuated its citizens inside 85 districts and developed supposedly unmanned drones known as Juggernauts to counter the Legion. Even after years of war, the Republic boasts that they have suffered zero casualties. However, the battlefield bathed in crimson recites a different melody.  The hand dealt to the Colorata people—a minority forced into living in the ""nonexistent"" 86th district—is one of utter contempt and scorn. Looked upon as human filth, they are ordered to pilot the Juggernauts as Processors under the command of Republican Handlers.  Vladilena Milizé, a republican soldier with a strong sense of justice, detests the way her countrymen treat the 86. When she is assigned to the Spearhead Squadron as their handler, she meets a group of oddballs and eventually grows attached to them—particularly their captain, Shinei Nouzen, a boy with a pure sense of purpose and resolve. However, the path they walk is one riddled with death, and growing close to an 86 may have just set Vladilena down a path of despair.  [Written by MAL Rewrite]"
70261,Mushoku Tensei: Isekai Ittara Honki Dasu,https://cdn.myanimelist.net/images/manga/3/120337.webp,https://cdn.myanimelist.net/images/manga/3/120337l.webp,8.82,34,170,"Fantasy, Isekai, Reincarnation","Killed while saving a stranger from a traffic collision, a 34-year-old NEET is reincarnated into a world of magic as Rudeus Greyrat, a newborn baby. With knowledge, experience, and regrets from his previous life retained, Rudeus vows to lead a fulfilling life and not repeat his past mistakes.  Now gifted with a tremendous amount of magical power as well as the mind of a grown adult, Rudeus is seen as a genius in the making by his new parents. Soon, he finds himself studying under powerful warriors, such as his swordsman father and a mage named Roxy Migurdia—all in order to hone his apparent talents. But despite his innocent exterior, Rudeus is still a perverted otaku, who uses his wealth of knowledge to make moves on women whom he could never make in his previous life.  [Written by MAL Rewrite]"
9115,Ookami to Koushinryou,https://cdn.myanimelist.net/images/manga/2/153860.webp,https://cdn.myanimelist.net/images/manga/2/153860l.webp,8.82,36,252,"Adult Cast, Adventure, Drama, Fantasy, Historical, Romance, Supernatural","A young traveling merchant, Kraft Lawrence, has become accustomed to days of roaming and trading with few companions. Or so it was until one peculiar day when the trader finds a young, naked, wolf-like girl asleep in his wagon.  The beautiful girl, calling herself Holo, claims to be a local wolf deity worshipped by locals as the God of Good Harvest. Year after year, she ensured they would reap a good harvest, but she has since grown tired of fulfilling the wishes of the ungrateful locals.  Holo ends up striking a deal with Lawrence: if he helps her escape the villagers, she will gladly help him in his merchant endeavors. Together, they roam from town to town in search of business, and Lawrence realizes both the ups and downs of traveling with a haughty and shrewd wolf goddess.  [Written by MAL Rewrite]"
74697,Re:Zero kara Hajimeru Isekai Seikatsu,https://cdn.myanimelist.net/images/manga/1/129447.jpg,https://cdn.myanimelist.net/images/manga/1/129447l.jpg,8.81,38,221,"Drama, Fantasy, Isekai, Psychological, Suspense, Time Travel","Exiting the convenience store, Subaru Natsuki emerges to a busy town inhabited by humans and demi-humans. Using dragons and carriages as transportation, the town is clearly not the modern-day Japan that he is familiar with. However, as someone who spends his days engrossed in comics and games, Subaru assumes that he is a protagonist in this new fantasy world, harnessing supreme magical powers.  Much to his dismay, that is not the case and things quickly go awry as he bumps into a group of thugs. Fortunately, a silver-haired beauty named Satella comes to his rescue, while looking for her stolen insignia. In return for her kindness, Subaru offers to help with the search, which eventually leads them to a loot shop. Assuming that the insignia was traded for money, Subaru enters the shop hoping to negotiate with the owner regarding the stolen item. However, much to his surprise, what awaits them is not the insignia but a brutal assassin that leads the two to their demise.  But instead of waking up in the afterlife, Subaru is shocked to find himself standing alone in the midst of daytime, as if he never left the town in the first place. Thus, his life in another world mysteriously begins a second time.  [Written by MAL Rewrite]"
89357,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,https://cdn.myanimelist.net/images/manga/2/177958.jpg,https://cdn.myanimelist.net/images/manga/2/177958l.jpg,8.81,39,176,"Drama, Psychological, School","Receiving funding from the government to nurture the next generation's hopefuls, Tokyo Metropolitan Advanced Nurturing High School brings together the brightest youth of Japan onto a single campus. At this seemingly perfect institution, the reserved Kiyotaka Ayanokouji arrives as an incoming member of class 1-D, where he befriends one of his classmates, the antisocial Suzune Horikita.  At first, his peers revel in the academy's leisurely lifestyle, taking advantage of all of its state-of-the-art facilities. Soon enough, however, the facade of Tokyo Metropolitan Advanced Nurturing High School gives way to its true nature—only the top scoring classes can fully utilize the school's offerings, and Class D is the furthest from such a status. Standing at the bottom of the hierarchy, Class D houses all of the school's ""worst"" students.  Following this rude awakening, Ayanokouji, Horikita, and the rest of Class D must overcome their differences and clash against other classes in order to climb to the coveted position of Class A by any means necessary.  [Written by MAL Rewrite]"
86119,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,https://cdn.myanimelist.net/images/manga/1/149552.jpg,https://cdn.myanimelist.net/images/manga/1/149552l.jpg,8.78,44,1189,"Fantasy, Isekai, Reincarnation","Urano Motosu's lifelong dream to become a librarian comes true. Luck is not on her side, however, as a plethora of books falls on her during an earthquake. On the verge of death, she begs God to be reborn surrounded by nothing but books.  Her wish is fulfilled, albeit not how she expected: Urano is reincarnated as Myne—a sickly five-year-old child with an ardent desire to read—in another world where the upper class controls knowledge, and only the privileged have access to written works. As a commoner, Myne is distraught that she will never be able to find what she is yearning for.  To obtain books, Myne decides she should make them herself. Currently, she is but a kid thrust into an unknown place—but nothing will not stop Myne from achieving her goal.  [Written by MAL Rewrite]"
123992,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,https://cdn.myanimelist.net/images/manga/3/235363.webp,https://cdn.myanimelist.net/images/manga/3/235363l.webp,8.78,45,475,"Drama, Psychological, School","As Kiyotaka Ayanokouji and his classmates begin their second-year life, changes are seen everywhere throughout Tokyo Metropolitan Advanced Nurturing High School. With the third-years having graduated and incoming first-years entering the school, alliances are well underway. Additionally, now that Miyabi Nagumo is the student council president, the promise of turning the school into a meritocracy may become a reality.  Meanwhile, conflicts between classes continue to build as the class point totals draw close. With another special exam looming ahead, will Ayanokouji remain in the shadows, or will he finally enter the spotlight and help his class rise to the illustrious Class A?  [Written by MAL Rewrite]"
