ID,Title,Medium_Picture,Large_Picture,Mean,Rank,Popularity,Genres,Synopsis
172034,"Sono Monban, Saikyou ni Tsuki: Tsuihou sareta Bougyoryoku 9999 no Senshi, Outo no Monban toshite Musou suru",https://cdn.myanimelist.net/images/manga/3/306205.jpg,https://cdn.myanimelist.net/images/manga/3/306205l.jpg,,39328.0,62960,Fantasy,"Sieg's defensive power is through the roof, and he's proven himself to be a rock-solid foundation for a heavy-hitting party, holding every last ounce of monster aggro. But that's not enough to prevent his party from kicking him right out the door! Who needs defense when you've got devastating attacks, right? Them, apparently—without their tank, the losses keep piling up! Sieg, on the other hand, lands a job as a gatekeeper at the royal capital and starts rising quickly through the ranks. Can he defend against the hordes of attackers, earn the trust of his squadron and the lovely but quirky ladies within, and untwist the problems of the besieged city—all at the same time?  (Source: J-Novel Club)"
87953,Shousetsu Akatsuki no Yona: Onaji Tsuki no Shita de,https://cdn.myanimelist.net/images/manga/2/153038.webp,https://cdn.myanimelist.net/images/manga/2/153038l.webp,8.38,232.0,1660,"Adventure, Historical, Romance, Shoujo","The novel is divided into three segments: Jae-Ha's Counseling Room – Part 1, Under the Same Moon – Parts 1-5, and Jae-Ha's Counseling Room – Part 2.  When listening to a nostalgic voice in the crowd of people, Soo-Won looked back without thinking. However, it was not the girl of his memory...  (Source: MU)"
52431,Oto x Maho,https://cdn.myanimelist.net/images/manga/3/158432.jpg,https://cdn.myanimelist.net/images/manga/3/158432l.jpg,,37291.0,40848,"Action, Comedy, Crossdressing, Supernatural","One day, ordinary junior high-schooler Shirahime Kanata is forced by his mother, Konata, to sign a contract that transforms him into a ""magical girl"" in times of trouble. As a magical girl herself, Konata wants to pass her job onto her son so he can protect the peace while she goes on vacation. Unfortunately for Kanata, canceling the contract means he'll permanently change into a girl, so now he's stuck doing an embarrassing job. Along with the help of his supervisor, a perverted cat named Moel, Kanata will fight against the ""Noise,"" a magical enemy who try to disturb the peace...all while wearing a cute skirt!  (Source: MU)"
124374,Souyaku Toaru Majutsu no Index,https://cdn.myanimelist.net/images/manga/3/229100.webp,https://cdn.myanimelist.net/images/manga/3/229100l.webp,8.44,189.0,5889,"Action, Comedy, Fantasy, Sci-Fi, Super Power, Supernatural","As Christmas Eve approaches Academy City, an array of decorative festivities adorn the streets. While the rest of the city is getting into the merry mood, it seems gloom is all that Touma Kamijou experiences. After suffering from one misfortune after another, he encounters Mikoto Misaka escaping from the watchful eyes of Tokiwadai Middle School in an attempt to enjoy the Christmas atmosphere. The two agree on making the most out of this dreadful holiday; however, unbeknownst to them, a mysterious third party observes their every move.  Elsewhere, the newly instated Academy City Board Chairman initiates his first operation—a plan that will turn the entire city's framework upside down. Naturally, as he seeks to leave every stone unturned, previously hidden enemies begin to reveal themselves along with their malicious intents...  [Written by MAL Rewrite]"
57367,.hack//Quantum: Kokoro no Soushi,https://cdn.myanimelist.net/images/manga/3/99609.jpg,https://cdn.myanimelist.net/images/manga/3/99609l.jpg,,41836.0,28270,"Action, Adventure, Fantasy, Video Game",Side story to .hack//Quantum.
100310,Ecstas Online,https://cdn.myanimelist.net/images/manga/3/181635.jpg,https://cdn.myanimelist.net/images/manga/3/181635l.jpg,6.88,10927.0,18250,"Action, Ecchi, Fantasy, Sci-Fi, Video Game","The story centers on Kakeru Doumeguri, a loner who is at the lowest caste of his school. A certain incident makes him reincarnate as the Dark Lord Helschaft, who exists inside the virtual reality game ""Exodia Exodus,"" though he also has the ability to turn back into human form.  Ririko Asagiri, a girl who Kakeru has long had a crush on, is also trapped in the game, along with her classmates, who all swear a vow to defeat Helschaft and get back to their world. However, if Helschaft dies, everyone's lives will be in danger, so Kakeru/Helschaft meets them in battle. The other characters include Shuuko Aikawa, Kakeru's boss at his part-time job in the real world, and Helschaft's slave in the game; and Non Shizukuishi, a sharp-tongued cool girl who is interested in Helschaft.  (Source: ANN)"
68945,Okasare Yuusha: Ririshiku Sekai wo Sukuu Hazu Datta Boku...,https://cdn.myanimelist.net/images/manga/1/166362.jpg,https://cdn.myanimelist.net/images/manga/1/166362l.jpg,,,45373,"Fantasy, Harem, Hentai, Mythology, Supernatural","Dragoness, Mystic Warrior, Elf, Mandragora, Thief, Slime Girl... to save the world the hero challenges each vixen of evil! (and gets gleefully r*ped by her when he loses)  An epic, erotic fantasy world. He is the naively driven hero who wants to vanquish villainy at its source: the Dragon inhabiting historic ruins! It's a quest of many meetings, from normal to protective monster girls, and for some reason they're all sexual...  Can he rise to victory? Will he protect the peace of the world!?  Or will he falter, fail and die in a glorious blaze of sex...?  (Source: dlsite, edited)"
56221,Zettai Shounen,https://cdn.myanimelist.net/images/manga/3/97873.jpg,https://cdn.myanimelist.net/images/manga/3/97873l.jpg,,41666.0,44291,"Drama, Fantasy, Mystery, Sci-Fi, Shounen","Aizawa Ayumu is a young boy, who is sent to a small town called Tana to live with his father for a while. Even though he doesn't want to go, he agrees to do so when his mother offers him a mountain bike. Ayumu used to live in Tana before, and now his memories of the time are shrouded in mystery - apparently something happened when he was a child. Enter Miku, a young girl who knows more than she tells, weird glowing lights floating around, reflections of UFOish objects in the eyes of cats and dogs, a nosy female announcer, a forest with a mysterious past, and a weird boy called Wakkun, who wears the clothes Ayumu used to when he was a child, and you get the world of Zettai Shonen, where mysteries remain mysteries amidst a slow, normal, everyday life.   (Source: ANN)"
133008,Dracula Yakin!,https://cdn.myanimelist.net/images/manga/1/240135.jpg,https://cdn.myanimelist.net/images/manga/1/240135l.jpg,,32816.0,31086,"Comedy, Romance, Slice of Life, Supernatural, Vampire","Vampires are creatures that turn to ash if they are exposed to the light of the sun. Although they can only move around at night, but they have actually been able to live quite comfortably in modern times.  Why is that, you ask? That's because there exists the concept of a ""night shift.""  Toraki Yura is a vampire who lives in the modern age. He works at a convenience store in Ikebukuro (night shift only), and lives in a semi-basement apartment that gets next to no sunlight (blackout curtains are a necessity). For the sake of going back to being human, he lives his life on the straight and narrow everyday.  However, after saving a blond-haired beauty from a drunkard, he finds out that she is Sister Iris, a nun who found her calling in exterminating vampires! Moreover, his natural enemy ended up as an unwanted guest in his apartment!? What is going to happen to Toraki's peaceful vampire life!?  (Source: Kadokawa, translated)"
98237,Sorairo na,https://cdn.myanimelist.net/images/manga/2/176031.jpg,https://cdn.myanimelist.net/images/manga/2/176031l.jpg,,48648.0,68605,"Drama, Romance, School",
